date,festival_name,flag_column_name
2020-01-01,New Year,is_public_holiday
2020-01-11,Prithvi Narayan Shah Jayanti,is_public_holiday
2020-01-29,Martyrs Day,is_public_holiday
2020-02-19,National Democracy Day,is_public_holiday
2020-03-08,International Women's Day,is_public_holiday
2020-03-10,Maha Shivaratri,is_public_holiday
2020-03-10,Holi,is_public_holiday
2020-03-29,Ghode Jatra,is_public_holiday
2020-04-14,Nepali New Year (Bikram Sambat),is_public_holiday
2020-05-07,Buddha Jayanti,is_public_holiday
2020-05-29,Republic Day,is_public_holiday
2020-08-03,Janai Purnima,is_public_holiday
2020-09-01,Indra Jatra,is_indra_jatra
2020-10-17,Ghatasthapana (Dashain start),is_dashain
2020-10-18,Dashain Day 2,is_dashain
2020-10-19,Dashain Day 3,is_dashain
2020-10-20,Dashain Day 4,is_dashain
2020-10-21,Dashain Day 5,is_dashain
2020-10-22,Dashain Day 6,is_dashain
2020-10-23,Dashain Day 7 (Fulpati),is_dashain
2020-10-24,Dashain Day 8 (Maha Ashtami),is_dashain
2020-10-25,Dashain Day 9 (Maha Navami),is_dashain
2020-10-26,Dashain Day 10 (Vijaya Dashami),is_dashain
2020-10-27,Dashain Day 11,is_dashain
2020-10-28,Dashain Day 12,is_dashain
2020-10-29,Dashain Day 13,is_dashain
2020-10-30,Dashain Day 14,is_dashain
2020-10-31,Dashain Day 15,is_dashain
2020-11-14,Tihar Day 1 (Kaag Tihar),is_tihar
2020-11-15,Tihar Day 2 (Kukur Tihar),is_tihar
2020-11-16,Tihar Day 3 (Laxmi Puja/Deepawali),is_tihar
2020-11-17,Tihar Day 4 (Govardhan Puja),is_tihar
2020-11-18,Tihar Day 5 (Bhai Tika),is_tihar
2020-12-30,Tamu Lhosar,is_public_holiday
2021-01-01,New Year,is_public_holiday
2021-01-11,Prithvi Narayan Shah Jayanti,is_public_holiday
2021-01-15,Maghe Sankranti,is_public_holiday
2021-01-29,Martyrs Day,is_public_holiday
2021-02-19,National Democracy Day,is_public_holiday
2021-03-11,Maha Shivaratri,is_public_holiday
2021-03-29,Holi,is_public_holiday
2021-04-14,Nepali New Year,is_public_holiday
2021-05-26,Buddha Jayanti,is_public_holiday
2021-05-29,Republic Day,is_public_holiday
2021-08-22,Janai Purnima,is_public_holiday
