ward_id,ward_name,lat,lon
1,Kathmandu Ward 1,27.7150,85.3100
2,Kathmandu Ward 2,27.7100,85.3050
3,Kathmandu Ward 3,27.7120,85.3150
4,Kathmandu Ward 4,27.7200,85.3180
5,Kathmandu Ward 5,27.7080,85.3200
6,Kathmandu Ward 6,27.7050,85.3250
7,Kathmandu Ward 7,27.7000,85.3300
8,Kathmandu Ward 8,27.6980,85.3350
9,Kathmandu Ward 9,27.7250,85.3050
10,Kathmandu Ward 10,27.7300,85.3100
11,Kathmandu Ward 11,27.7180,85.3280
12,Kathmandu Ward 12,27.7220,85.3350
13,Kathmandu Ward 13,27.7270,85.3400
14,Kathmandu Ward 14,27.7350,85.3200
15,Kathmandu Ward 15,27.7400,85.3250
16,Kathmandu Ward 16,27.7050,85.3400
17,Kathmandu Ward 17,27.7100,85.3450
18,Kathmandu Ward 18,27.6950,85.3150
19,Kathmandu Ward 19,27.6900,85.3200
20,Kathmandu Ward 20,27.6850,85.3250
21,Kathmandu Ward 21,27.6800,85.3300
22,Kathmandu Ward 22,27.6750,85.3350
23,Kathmandu Ward 23,27.6700,85.3400
24,Kathmandu Ward 24,27.6650,85.3450
25,Kathmandu Ward 25,27.6600,85.3200
26,Kathmandu Ward 26,27.6550,85.3300
27,Kathmandu Ward 27,27.7150,85.2950
28,Kathmandu Ward 28,27.7200,85.2900
29,Kathmandu Ward 29,27.7100,85.2850
30,Kathmandu Ward 30,27.7050,85.2800
31,Kathmandu Ward 31,27.7000,85.2750
32,Kathmandu Ward 32,27.6950,85.2700
